method,gamma,metric,n,median,q1,q3
gamma_centroid,0.25,base_pair_f1,21254,0.6451612903225806,0.43333333333333335,0.8095238095238095
gamma_centroid,0.25,normalized_squared_mountain_distance,21254,0.014566103994408552,0.005231388329979879,0.033932503676289555
gamma_centroid,0.5,base_pair_f1,21254,0.6875,0.4782608695652174,0.8285714285714286
gamma_centroid,0.5,normalized_squared_mountain_distance,21254,0.010337524530410987,0.0027757427113997554,0.027881430862143897
gamma_centroid,1.0,base_pair_f1,21254,0.7164179104477612,0.4918032786885246,0.8405797101449275
gamma_centroid,1.0,normalized_squared_mountain_distance,21254,0.007341404931766378,0.0019616876602850807,0.02391623474764016
gamma_centroid,2.0,base_pair_f1,21254,0.7169811320754716,0.4878048780487805,0.8450704225352113
gamma_centroid,2.0,normalized_squared_mountain_distance,21254,0.0069269707823924696,0.0019826000104264815,0.02564366925408929
gamma_centroid,4.0,base_pair_f1,21254,0.7106350587211832,0.4782608695652174,0.8395061728395061
gamma_centroid,4.0,normalized_squared_mountain_distance,21254,0.007397162447874616,0.0023088130035401654,0.02826806096144999
gamma_centroid,8.0,base_pair_f1,21254,0.7027027027027027,0.47058823529411764,0.8333333333333334
gamma_centroid,8.0,normalized_squared_mountain_distance,21254,0.00792916203875108,0.0024649354256353283,0.029807130333138514
gamma_centroid,16.0,base_pair_f1,21254,0.6956521739130435,0.46808510638297873,0.821917808219178
gamma_centroid,16.0,normalized_squared_mountain_distance,21254,0.008318285426719162,0.0030181086519114686,0.03084770234865812
vienna_mfe,,base_pair_f1,21254,0.7123287671232876,0.47058823529411764,0.85
vienna_mfe,,normalized_squared_mountain_distance,21254,0.006472204739292005,0.0016717679153636304,0.02749500583089768
mountain_centroid_sequence_constrained,,base_pair_f1,21254,0.5531914893617021,0.3545324622294814,0.7428571428571429
mountain_centroid_sequence_constrained,,normalized_squared_mountain_distance,21254,0.005664732724249513,0.0017139312220806888,0.020001435518544948
