dataset_scope,group,alpha,n,median_normalized_mountain_objective,q1_normalized_mountain_objective,q3_normalized_mountain_objective,median_normalized_centroid_gain,q1_normalized_centroid_gain,q3_normalized_centroid_gain,median_base_pair_f1,q1_base_pair_f1,q3_base_pair_f1,median_normalized_squared_mountain_distance,q1_normalized_squared_mountain_distance,q3_normalized_squared_mountain_distance,median_predicted_pair_count,q1_predicted_pair_count,q3_predicted_pair_count,median_median_selected_pair_bpp,q1_median_selected_pair_bpp,q3_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,q1_fraction_selected_pair_bpp_below_0.01,q3_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,q1_hybrid_seconds,q3_hybrid_seconds,fraction_records_with_any_selected_pair_bpp_below_0.01
all,all_families,0.0,21254,0.00011197883375821583,7.812018426022156e-05,0.0001718281986752966,0.2446553647225776,0.03303500488992389,0.42592620331427855,0.5531914893617021,0.35294117647058826,0.7428571428571429,0.005683668334270744,0.0017152433072620031,0.020030606110291303,28.0,22.0,34.0,0.9083996163761394,0.7022261554304019,0.9676867630865935,0.13636363636363635,0.029777227722772276,0.3103448275862069,0.014060655,0.0031273925,0.018195186000000002,0.7920861955396631
all,all_families,9.999000099990002e-05,21254,0.00011351511362508331,7.957092715026898e-05,0.00017305363320750018,0.2834793893231717,0.07149410384247551,0.45419952713617906,0.5714285714285714,0.36666666666666664,0.7605633802816901,0.005718454269380438,0.0017097104409957216,0.020070092660220792,28.0,22.0,35.0,0.9136128706155378,0.7497469444110042,0.9683329878665274,0.1,0.0,0.2727272727272727,0.013340177,0.002892866,0.017368694,0.7089489037357674
all,all_families,0.0002999100269919024,21254,0.00012049220412688,8.337616939586877e-05,0.00017955049010493526,0.3190822542935184,0.11184073013965662,0.46392748936101263,0.5853658536585366,0.38235294117647056,0.7692307692307693,0.0057418869463720205,0.0017033037665509705,0.020159869936322992,27.0,22.0,35.0,0.9136128706155378,0.7772890654298715,0.9686509472234872,0.05714285714285714,0.0,0.21875,0.0133038275,0.0028846565,0.01732613275,0.6348922555754211
all,all_families,0.0009990009990009992,21254,0.00014134103097975133,9.224551896052526e-05,0.0002076517867771277,0.35917030767968033,0.1733880720303136,0.4779440956094666,0.6153846153846154,0.410958904109589,0.7887323943661971,0.005802888263256051,0.0016989438110411193,0.020199405814733815,27.0,22.0,35.0,0.9141704318730933,0.7951129236107434,0.9681474214626711,0.02702702702702703,0.0,0.13636363636363635,0.0132950885,0.0028862824999999997,0.0173276925,0.5110096922932154
all,all_families,0.0029910269192422734,21254,0.00017936837693360803,0.00010436103876432482,0.0002866793770255159,0.3812794251939421,0.22753019762561616,0.4850547697461434,0.6486486486486487,0.4411764705882353,0.8059701492537313,0.005820700337869946,0.0016972147503111642,0.020573695272490453,28.0,22.0,35.0,0.9139471864315118,0.7983166264994898,0.9680407641237178,0.0,0.0,0.05,0.013283897499999999,0.0028904539999999998,0.01731806525,0.3620965465324174
all,all_families,0.009900990099009901,21254,0.00024705441312173774,0.0001346482371898912,0.00045657923076530176,0.39460918449011795,0.26521735977198857,0.49097121584703485,0.6666666666666666,0.46808510638297873,0.819672131147541,0.005934155263514429,0.0017385192994137121,0.02118648624959056,28.0,22.0,35.0,0.9106984667113873,0.796403489794363,0.9671509739501278,0.0,0.0,0.0,0.013295524,0.0028944867500000004,0.017323095,0.18791756845770208
all,all_families,0.029126213592233007,21254,0.0003523667430377497,0.00016565363482180012,0.0007371556640714819,0.40233856422921005,0.28261899291609516,0.49340219441344013,0.6923076923076923,0.47767798177255316,0.8297872340425532,0.005913356472554313,0.001711367045281847,0.0217388819871114,28.0,23.0,35.0,0.9095427300609932,0.7904882948668068,0.9668435849439266,0.0,0.0,0.0,0.0132793995,0.0028962525,0.017343974499999998,0.07283334901665568
all,all_families,0.09090909090909091,21254,0.0005422914621753335,0.00021422876489434798,0.0013404539256456464,0.4067361467360079,0.29447803947387285,0.49537639324478716,0.7058823529411765,0.4864864864864865,0.8363636363636363,0.005939988433080254,0.0016489211951070154,0.02236758202041369,28.0,23.0,35.0,0.9116098041090208,0.7933244933738017,0.9672134914233351,0.0,0.0,0.0,0.013300371,0.00289662975,0.017317054,0.013456290580596594
all,all_families,0.23076923076923075,21254,0.0007654998931608741,0.0002470062758661808,0.0022424431991428296,0.40912104914296377,0.30083800351350515,0.49576598649280973,0.7142857142857143,0.4888888888888889,0.84,0.00609771256681744,0.0017169414759776206,0.022252173990163094,28.0,22.0,35.0,0.9138874244746885,0.8002993273436699,0.9679072758518009,0.0,0.0,0.0,0.0132804315,0.0028897142499999997,0.01730688525,9.409993413004611e-05
all,all_families,0.5,21254,0.0010324003178466207,0.0002814411364154715,0.003533243309570422,0.40990315163761143,0.3047826047954616,0.49618711307925234,0.7164179104477612,0.4918032786885246,0.8421052631578947,0.006640432857845549,0.0018765569145175465,0.02246304893106381,27.0,22.0,35.0,0.9172367777501449,0.8088539249561009,0.9697162407966342,0.0,0.0,0.0,0.013287337,0.002886958,0.01726482025,0.0
all,all_families,0.75,21254,0.001134790554784757,0.00030777901812865504,0.00452414456720063,0.4102015554857157,0.3059042154193132,0.4962086255638539,0.7164179104477612,0.49230769230769234,0.8405797101449275,0.0070311313585001865,0.0018896180914717885,0.023138012810740634,27.0,22.0,35.0,0.9219626471936138,0.8158656880784887,0.9711821097039054,0.0,0.0,0.0,0.013278624,0.00288451475,0.017267669,0.0
all,all_families,0.9090909090909091,21254,0.0011919311421328708,0.00030792380353973555,0.0051479054294296615,0.4102015554857157,0.3060118747488717,0.49621842749605466,0.7164179104477612,0.49230769230769234,0.84,0.007252597614043397,0.0019419073479799227,0.023648408565731048,26.0,22.0,35.0,0.9238397130372259,0.8219737844483571,0.9720867048036895,0.0,0.0,0.0,0.0132921995,0.0028791349999999997,0.017258922750000003,0.0
all,all_families,1.0,21254,0.0012270393172005656,0.00030792380353973555,0.0054554539829143565,0.4102015554857157,0.3060122545772196,0.49621842749605466,0.7164179104477612,0.4918032786885246,0.8405797101449275,0.007341404931766378,0.0019616876602850807,0.02391623474764016,26.0,21.0,35.0,0.9245672050824534,0.8256770415506445,0.9726853670372253,0.0,0.0,0.0,0.013275314,0.0028758940000000004,0.01722844175,0.0
all,16S_rRNA,0.0,182,1.9941944686240917e-05,1.8001197958189686e-05,2.6595836455316522e-05,0.0972555571717922,0.024977796135038192,0.2616376990855392,0.4520547945205479,0.3919463087248322,0.6072113540467972,0.0025850871723352995,0.001701747409197991,0.01332886756666286,69.0,64.0,76.0,0.8136946196570999,0.7307246302377259,0.9208072164917569,0.23705004389815626,0.1160655737704918,0.391304347826087,0.584188462,0.47042973725000004,0.6701245475000001,0.967032967032967
all,16S_rRNA,9.999000099990002e-05,182,2.433732025207337e-05,2.0344312698386685e-05,3.245059510599074e-05,0.2308343800046138,0.14467172793330108,0.3477459535057061,0.5416666666666666,0.4643674403399804,0.6801387221555288,0.0025445988299673664,0.0017822626585711108,0.013347868028237979,67.0,64.0,76.0,0.8605896601861216,0.8406092416318987,0.9255337497516288,0.09933574879227053,0.039473684210526314,0.22388059701492538,0.578529622,0.4766916845,0.66728278075,0.9175824175824175
all,16S_rRNA,0.0002999100269919024,182,3.734584284546436e-05,2.4854150983673842e-05,4.1362399151587916e-05,0.2753215297623357,0.23975399183768945,0.37130975040667524,0.625,0.5034251462822892,0.6973684210526315,0.0025166959091394644,0.0017474448867011217,0.013280634845793157,68.0,64.0,76.0,0.860406931034549,0.836355415973731,0.9255254253777895,0.04838709677419355,0.01355979266938171,0.08712121212121213,0.5729313225,0.46424562150000004,0.668801744,0.8296703296703297
