dataset_scope,group,alpha,endpoint_alpha,n,median_delta_base_pair_f1,q1_delta_base_pair_f1,q3_delta_base_pair_f1,fraction_higher_base_pair_f1,fraction_equal_base_pair_f1,median_delta_nmsmd,q1_delta_nmsmd,q3_delta_nmsmd,fraction_lower_nmsmd,fraction_equal_nmsmd,median_delta_normalized_mountain_objective,q1_delta_normalized_mountain_objective,q3_delta_normalized_mountain_objective,median_delta_normalized_centroid_gain,q1_delta_normalized_centroid_gain,q3_delta_normalized_centroid_gain,median_delta_fraction_selected_pair_bpp_below_0.01,q1_delta_fraction_selected_pair_bpp_below_0.01,q3_delta_fraction_selected_pair_bpp_below_0.01,fraction_identical_to_endpoint
all,all_families,0.0,0.0,21254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,all_families,0.0,1.0,21254,-0.04960497508138162,-0.16402508121175494,0.0,0.1826479721464195,0.09043003669897431,-0.0005697194131890049,-0.004389829723116766,0.00044403658861490186,0.6262821116025219,0.03787522348734356,-0.0010873995016719186,-0.0052850388658949345,-0.00021861152060221537,-0.15838899630289166,-0.26306223141325474,-0.06710436590411197,0.13636363636363635,0.029411764705882353,0.3103448275862069,0.03627552460713278
all,all_families,9.999000099990002e-05,0.0,21254,0.0,0.0,0.028169014084507005,0.3226686741319281,0.6404441516890939,0.0,-6.60759476942799e-06,1.7077527098448194e-05,0.2561400207019855,0.45186788369248143,2.686449905400947e-07,0.0,1.812136076842376e-06,0.016948757703861547,0.0,0.04652915473067627,0.0,-0.043478260869565216,0.0,0.43822339324362475
all,all_families,9.999000099990002e-05,1.0,21254,-0.03472892147404971,-0.13636363636363635,0.0,0.20400865719393996,0.10421567704902607,-0.0005557495959333557,-0.004382446463812164,0.00045788136358359925,0.6228004140397102,0.04399171920579656,-0.0010865830865987754,-0.005283686605026388,-0.0002180506996012367,-0.11777171424897523,-0.22729494744555212,-0.03765961551326126,0.1,0.0,0.2727272727272727,0.04178037075374047
all,all_families,0.0002999100269919024,0.0,21254,0.0,0.0,0.04811078006500549,0.47167591982685614,0.4743577679495624,0.0,-3.560746332431273e-05,7.886849992113113e-05,0.34388820927825353,0.2565164204385057,3.74558632194042e-06,9.290043451200016e-08,9.25605174982191e-06,0.041693896219150844,0.005818080032136075,0.08615253974292048,-0.04,-0.08823529411764706,0.0,0.2398136821304225
all,all_families,0.0002999100269919024,1.0,21254,-0.02619047619047621,-0.10436691250268836,0.0,0.22663969135221607,0.11682506822245224,-0.0005233429650298577,-0.004333750370819414,0.00046253163385995884,0.6169191681565823,0.0520372635739155,-0.00108045590904111,-0.005273028278466784,-0.00020219831631514007,-0.07952104301633645,-0.1882847017173306,-0.025833528651825977,0.05714285714285714,0.0,0.21875,0.050484614660769735
all,all_families,0.0009990009990009992,0.0,21254,0.02458193069037265,0.0,0.08156028368794326,0.604027477180766,0.31641102851228003,0.0,-9.266981744045964e-05,0.00020861973325615605,0.38778582854992,0.12915215959348827,1.7954437719318017e-05,4.865274222676876e-06,3.834546876278471e-05,0.07567025303097757,0.030545732797633923,0.13704298312762964,-0.07407407407407407,-0.1523809523809524,0.0,0.1138609202973558
all,all_families,0.0009990009990009992,1.0,21254,-0.015572858731924377,-0.0703296703296703,0.004287045666356015,0.2657382139832502,0.13635080455443682,-0.00046741633924942544,-0.004232609495767388,0.0004497760836988647,0.589771337160064,0.07231579937894043,-0.0010548206995641867,-0.005251835217694206,-0.0001921065955476571,-0.044098705204285465,-0.12672340292205528,-0.01414535231191516,0.02702702702702703,0.0,0.13636363636363635,0.07015150089394938
all,all_families,0.0029910269192422734,0.0,21254,0.03278688524590162,0.0,0.1096597201248364,0.6618989366707443,0.22979203914557259,2.2478982151688358e-05,-0.00015773699984226314,0.00039335356487205423,0.3973369718641197,0.0828549920015056,4.9846751368965856e-05,1.4454178547507958e-05,0.00011318076453241516,0.10322071283511139,0.04661189073344317,0.1787272524821226,-0.10526315789473684,-0.2222222222222222,-0.027777777777777776,0.07302154888491579
all,all_families,0.0029910269192422734,1.0,21254,-0.008637873754152814,-0.045454545454545525,0.00879120879120876,0.2950973934318246,0.16585113390420628,-0.00040108601752437316,-0.004052129326306795,0.00047232721690431486,0.5717982497412252,0.0989931307048085,-0.0009897775802996086,-0.005154316498205457,-0.00017588244201640333,-0.024031612584258927,-0.07183693746337434,-0.007596706134006377,0.0,0.0,0.05,0.09739343182459773
