scope,family,alpha,n,median_normalized_mountain_objective,median_normalized_centroid_gain,median_base_pair_f1,median_normalized_squared_mountain_distance,median_predicted_pair_count,median_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,fraction_identical_to_alpha_0,fraction_identical_to_alpha_1
all,all_families,0.0,21254,0.00011197883375821583,0.2446553647225776,0.5531914893617021,0.005683668334270744,28.0,0.9083996163761394,0.13636363636363635,0.014060655,1.0,0.03627552460713278
family,16S_rRNA,0.0,182,1.9941944686240917e-05,0.0972555571717922,0.4520547945205479,0.0025850871723352995,69.0,0.8136946196570999,0.23705004389815626,0.584188462,1.0,0.0
family,5S_rRNA,0.0,11302,8.954172804461319e-05,0.22089382398102325,0.5245901639344263,0.004526675712070258,33.0,0.8887743230403796,0.14285714285714285,0.017464088500000002,1.0,0.005839674393912582
family,RNaseP,0.0,36,2.0983208533356584e-05,0.19554524770352924,0.5007808433107757,0.007579674677853562,70.0,0.9453349696836799,0.2053508150248051,0.6268800255,1.0,0.0
family,SRP,0.0,407,2.6743877214230848e-05,0.3276264573970975,0.5562130177514792,0.006489076659991038,74.0,0.938467494229284,0.1,0.703552595,1.0,0.0343980343980344
family,group_I_intron,0.0,83,1.811212651426237e-05,0.1875855016226548,0.5161290322580645,0.0036468746786705816,71.0,0.910816371813084,0.18571428571428572,0.62480104,1.0,0.0
family,tRNA,0.0,9234,0.00017485953213253219,0.2674737482916149,0.5652173913043478,0.007428789348737181,21.0,0.9237063706598844,0.125,0.003036453,1.0,0.07472384665367121
family,tmRNA,0.0,10,1.5856613301737187e-05,0.21014150181964109,0.41961000735835174,0.014686333074685698,69.0,0.9071578741493116,0.16363636363636364,0.6395655835,1.0,0.1
all,all_families,9.999000099990002e-05,21254,0.00011351511362508331,0.2834793893231717,0.5714285714285714,0.005718454269380438,28.0,0.9136128706155378,0.1,0.013340177,0.43822339324362475,0.04178037075374047
family,16S_rRNA,9.999000099990002e-05,182,2.433732025207337e-05,0.2308343800046138,0.5416666666666666,0.0025445988299673664,67.0,0.8605896601861216,0.09933574879227053,0.578529622,0.02197802197802198,0.0
family,5S_rRNA,9.999000099990002e-05,11302,9.082991986970681e-05,0.2736216000916204,0.5573770491803278,0.0045126920255136385,33.0,0.8990837757657664,0.1,0.016653123,0.2841974871704123,0.009113431251105999
family,RNaseP,9.999000099990002e-05,36,2.3737469354727203e-05,0.3211268044173553,0.5440932591942249,0.007551139912557103,70.0,0.9457553550949309,0.0784313725490196,0.630214265,0.027777777777777776,0.0
family,SRP,9.999000099990002e-05,407,2.9952158541340355e-05,0.3797354905604753,0.5806451612903226,0.006412426208165923,74.0,0.9396695452822798,0.047619047619047616,0.690741296,0.20147420147420148,0.03931203931203931
family,group_I_intron,9.999000099990002e-05,83,2.0763015965077714e-05,0.28764698573893754,0.5949367088607594,0.00371313994538828,71.0,0.9193371502894612,0.058823529411764705,0.64176926,0.024096385542168676,0.0
family,tRNA,9.999000099990002e-05,9234,0.00017559924396645085,0.2890472528264253,0.5714285714285714,0.007431562374403093,21.0,0.9257614747783338,0.1,0.002803088,0.6510721247563352,0.08317089018843404
family,tmRNA,9.999000099990002e-05,10,1.9072754936848156e-05,0.2585960463384144,0.4277777777777778,0.014720495173482555,68.0,0.9071578741493116,0.10909090909090909,0.6302683675,0.1,0.1
all,all_families,0.0002999100269919024,21254,0.00012049220412688,0.3190822542935184,0.5853658536585366,0.0057418869463720205,27.0,0.9136128706155378,0.05714285714285714,0.0133038275,0.2398136821304225,0.050484614660769735
family,16S_rRNA,0.0002999100269919024,182,3.734584284546436e-05,0.2753215297623357,0.625,0.0025166959091394644,68.0,0.860406931034549,0.04838709677419355,0.5729313225,0.016483516483516484,0.0
family,5S_rRNA,0.0002999100269919024,11302,9.75482100281186e-05,0.31618850465131454,0.5862068965517241,0.00451078241843876,33.0,0.9012046576809811,0.05714285714285714,0.0166120155,0.1303309148823217,0.013625906919129358
family,RNaseP,0.0002999100269919024,36,2.9806635658082048e-05,0.36525775192458343,0.5400326797385621,0.007510883194530541,71.5,0.9457553550949309,0.02877846790890269,0.6342975105,0.0,0.0
family,SRP,0.0002999100269919024,407,3.7588579369101746e-05,0.40849697337034196,0.5955056179775281,0.006412426208165923,73.0,0.9399749144279623,0.012987012987012988,0.6927404,0.12285012285012285,0.03931203931203931
family,group_I_intron,0.0002999100269919024,83,2.5418409748474523e-05,0.33452142442952393,0.5972222222222222,0.0037211161145568805,73.0,0.9167302714116286,0.04819277108433735,0.629504854,0.0,0.0
family,tRNA,0.0002999100269919024,9234,0.0001799764287509636,0.31914738798206743,0.5853658536585366,0.007511737089201878,21.0,0.9262982978350204,0.07692307692307693,0.002794921,0.3866146848602989,0.09768247779943687
family,tmRNA,0.0002999100269919024,10,2.7014922804521934e-05,0.27433650862855397,0.45214611872146115,0.014856415667584073,69.0,0.9062482802528518,0.05357142857142857,0.6217233395,0.1,0.1
all,all_families,0.0009990009990009992,21254,0.00014134103097975133,0.35917030767968033,0.6153846153846154,0.005802888263256051,27.0,0.9141704318730933,0.02702702702702703,0.0132950885,0.1138609202973558,0.07015150089394938
family,16S_rRNA,0.0009990009990009992,182,5.467751585166616e-05,0.31258986089258844,0.6164383561643836,0.002492571848937885,69.0,0.8574194555447658,0.014492753623188406,0.5816564205,0.005494505494505495,0.01098901098901099
family,5S_rRNA,0.0009990009990009992,11302,0.00011361697027492028,0.35608397797267544,0.625,0.004530998507529544,34.0,0.9022841815878659,0.0,0.0166304935,0.059458502919837196,0.023181737745531766
family,RNaseP,0.0009990009990009992,36,4.2395568437557614e-05,0.3825827148651718,0.5467625899280576,0.007528516884429168,72.5,0.9361643073745973,0.012347560975609757,0.6468289460000001,0.0,0.027777777777777776
family,SRP,0.0009990009990009992,407,5.7203539513126294e-05,0.43818884848227563,0.6162790697674418,0.006640878622442914,74.0,0.9399749144279623,0.0,0.690809611,0.08845208845208845,0.05896805896805897
family,group_I_intron,0.0009990009990009992,83,3.780062132856621e-05,0.3429708937559733,0.6166666666666667,0.003843385469626515,72.0,0.9164597407253976,0.01818181818181818,0.602867308,0.0,0.0
family,tRNA,0.0009990009990009992,9234,0.00019830790298972758,0.36137694214720195,0.6086956521739131,0.007528076021226706,22.0,0.9271081063466112,0.043478260869565216,0.0027922965000000003,0.18518518518518517,0.13006281134936107
family,tmRNA,0.0009990009990009992,10,3.779495516500616e-05,0.29388284740264115,0.4407894736842105,0.015128432250734385,70.0,0.9043694405696712,0.01694915254237288,0.619451721,0.1,0.1
all,all_families,0.0029910269192422734,21254,0.00017936837693360803,0.3812794251939421,0.6486486486486487,0.005820700337869946,28.0,0.9139471864315118,0.0,0.013283897499999999,0.07302154888491579,0.09739343182459773
family,16S_rRNA,0.0029910269192422734,182,7.31859271041906e-05,0.32203531854951445,0.6486486486486487,0.0025845270113398324,71.0,0.856124908548483,0.0,0.5745016304999999,0.0,0.01098901098901099
family,5S_rRNA,0.0029910269192422734,11302,0.00014150984634847297,0.37416850712562144,0.6575342465753424,0.004558125439734524,34.0,0.9012473908618452,0.0,0.0166134375,0.036542204919483276,0.03698460449477969
family,RNaseP,0.0029910269192422734,36,5.4419234053105315e-05,0.39377493946052533,0.5665826801045166,0.007444874853554908,73.5,0.9358451708364397,0.0,0.670643358,0.0,0.027777777777777776
family,SRP,0.0029910269192422734,407,7.906215953738303e-05,0.44252278941962386,0.6268656716417911,0.006508821855435401,77.0,0.9404573517028005,0.0,0.693830616,0.0687960687960688,0.0687960687960688
family,group_I_intron,0.0029910269192422734,83,6.0316034971147746e-05,0.3647912702618586,0.6257668711656442,0.0036491596878677436,74.0,0.9135981773666251,0.011904761904761904,0.610136732,0.0,0.0
family,tRNA,0.0029910269192422734,9234,0.0002378136840881987,0.3898337301560423,0.64,0.00748810901144106,22.0,0.9256287433591199,0.0,0.0027953655,0.12020792722547108,0.17543859649122806
family,tmRNA,0.0029910269192422734,10,6.319746504920059e-05,0.31586822480942245,0.43983830738797625,0.015285940075922062,70.0,0.8903727013169354,0.0,0.618074835,0.1,0.1
all,all_families,0.009900990099009901,21254,0.00024705441312173774,0.39460918449011795,0.6666666666666666,0.005934155263514429,28.0,0.9106984667113873,0.0,0.013295524,0.05039051472663969,0.17126188011668392
family,16S_rRNA,0.009900990099009901,182,0.00012825758748764125,0.3337962063138358,0.6621621621621622,0.0025404350023392713,71.0,0.8515725910212448,0.0,0.5730786354999999,0.0,0.03296703296703297
family,5S_rRNA,0.009900990099009901,11302,0.00020401848510839704,0.384894335291283,0.6865671641791045,0.004449255960015071,34.0,0.9001885007483972,0.0,0.016623243,0.015041585560077862,0.12334100159263847
family,RNaseP,0.009900990099009901,36,0.00010257051684775005,0.4012436997995581,0.5751633986928104,0.007252524429265288,76.0,0.9353835178306407,0.0,0.645475605,0.0,0.027777777777777776
family,SRP,0.009900990099009901,407,0.00011382562734841106,0.45406889948324713,0.631578947368421,0.006508821855435401,77.0,0.938467494229284,0.0,0.693631343,0.056511056511056514,0.11056511056511056
family,group_I_intron,0.009900990099009901,83,0.00010542363262131738,0.37088947331435207,0.6303030303030303,0.004226967628649919,75.0,0.9135981773666251,0.0,0.600361051,0.0,0.03614457831325301
family,tRNA,0.009900990099009901,9234,0.00032179196508310093,0.4067204326464548,0.6666666666666666,0.007563248179686536,22.0,0.9205183024730014,0.0,0.002796748,0.09497509205111544,0.23716699155295645
family,tmRNA,0.009900990099009901,10,0.00011078656223973401,0.322554420011229,0.4316473000683527,0.014895414280309568,67.0,0.890335107838123,0.0,0.6177901595,0.1,0.1
all,all_families,0.029126213592233007,21254,0.0003523667430377497,0.40233856422921005,0.6923076923076923,0.005913356472554313,28.0,0.9095427300609932,0.0,0.0132793995,0.04295661993036605,0.25289357297449894
family,16S_rRNA,0.029126213592233007,182,0.0002613940350498751,0.34153857372942753,0.6754966887417219,0.0024214247972142375,74.0,0.8515725910212448,0.0,0.572762813,0.0,0.12637362637362637
family,5S_rRNA,0.029126213592233007,11302,0.0002862680705864888,0.38958765156108655,0.7058823529411765,0.004335326763724692,34.0,0.900063427052934,0.0,0.01661799,0.008228632100513184,0.1965138913466643
family,RNaseP,0.029126213592233007,36,0.0001958371554257206,0.40537010867087486,0.5751633986928104,0.006804048764552539,75.5,0.9353835178306407,0.0,0.6451675545,0.0,0.027777777777777776
family,SRP,0.029126213592233007,407,0.0001599609008010622,0.45517911275666373,0.6329113924050633,0.006822530037499043,77.0,0.9424699377549298,0.0,0.700845666,0.05405405405405406,0.14987714987714987
family,group_I_intron,0.029126213592233007,83,0.0001851758373912219,0.3779494498430052,0.639344262295082,0.004266302894131493,73.0,0.9098917749697691,0.0,0.599950311,0.0,0.14457831325301204
