method,pair_class,selected_pair_count,below_threshold_count,fraction_below_threshold,fraction_of_below_threshold_pairs
reference,AU,160946,15359,0.09542952294558424,0.27648467174308294
reference,GC,383837,30415,0.07923936462613036,0.5475148962214902
reference,GU,72571,8919,0.12290033208857533,0.16055516552357293
reference,other,858,858,1.0,0.015445266511853972
vienna_mfe,AU,191392,6,3.134927269687343e-05,0.3
vienna_mfe,GC,411476,11,2.673302938689012e-05,0.55
vienna_mfe,GU,88261,3,3.399009755157997e-05,0.15
vienna_mfe,other,0,0,,0.0
vienna_centroid,AU,164412,0,0.0,
vienna_centroid,GC,369889,0,0.0,
vienna_centroid,GU,72219,0,0.0,
vienna_centroid,other,0,0,,
gamma_centroid_2,AU,188864,0,0.0,
gamma_centroid_2,GC,404876,0,0.0,
gamma_centroid_2,GU,85410,0,0.0,
gamma_centroid_2,other,0,0,,
mountain_centroid_sequence_constrained,AU,159753,22155,0.13868284163677677,0.20288089961722314
mountain_centroid_sequence_constrained,GC,358953,49535,0.13799856805765656,0.45360890826175343
mountain_centroid_sequence_constrained,GU,100224,37512,0.3742816091954023,0.3435101921210234
mountain_centroid_sequence_constrained,other,0,0,,0.0
